30,LOUIS GARNEAU,ASCENT,ASCENT mini,,,,2019,/ascent[\s・]mini/ius,,20/18,20×1.95/18×2.125,LGホワイト,139320,,12.3,24.2,77,,,内装3段,135,,,標準装備,低床,,20181217
31,LOUIS GARNEAU,ASCENT,ASCENT mini,,,,2019,/ascent[\s・]mini/ius,,20/18,20×1.95/18×2.125,マットカーキ,139320,,12.3,24.2,77,,,内装3段,135,,,標準装備,低床,,20181217
32,LOUIS GARNEAU,ASCENT,ASCENT mini,,,,2019,/ascent[\s・]mini/ius,,20/18,20×1.95/18×2.125,ディープオレンジ,139320,,12.3,24.2,77,,,内装3段,135,,,標準装備,低床,,20181217
33,LOUIS GARNEAU,ASCENT,ASCENT mini,,,,2019,/ascent[\s・]mini/ius,,20/18,20×1.95/18×2.125,ライラック,139320,,12.3,24.2,77,,,内装3段,135,,,標準装備,低床,,20181217
34,カイホウ,SUISUI,BM-A30,,,,,/bm-a30/ius,,20,,ブラック,,24,5.8,18.5,30,,,外装６段,,,740,,,,20181217
35,カイホウ,SUISUI,BM-A30,,,,,/bm-a30/ius,,20,,ホワイト,,24,5.8,18.5,30,,,外装６段,,,740,,,,20181217
36,カイホウ,SUISUI,BM-E50,,,,,/bm-e50/ius,,20,,ネイビー,,24,5.8,18.5,30,,,,,,815,,,,20181217
37,カイホウ,SUISUI,BM-P10,,,,,/bm-p10/ius,,26,,ホワイト,,24,5.8,25.4,35,,,内装3段,,,800,クラス27標準装備,低床,前輪駆動,20181217
38,カイホウ,SUISUI,BM-P10,,,,,/bm-p10/ius,,26,,ネイビー,,24,5.8,25.4,35,,,内装3段,,,800,クラス27標準装備,低床,前輪駆動,20181217
39,パナソニック,ギュット,ギュット・アニーズ・KE,,BE-ELKE03,,2018,/ギュット[\s・]?アニーズ[\s・][kＫ][eＥ]/ius,,20,20×2.125HE,マットジェットブラック,198000,25.2,20,35.1,100,76,63,内装3段,142,155,735,クラス27標準装備,低床,,20181217
40,パナソニック,ギュット,ギュット・アニーズ・KE,,BE-ELKE03,,2018,/ギュット[\s・]?アニーズ[\s・][kＫ][eＥ]/ius,,20,20×2.125HE,ホワイトグレー,198000,25.2,20,35.1,100,76,63,内装3段,142,155,735,クラス27標準装備,低床,,20181217
41,パナソニック,ギュット,ギュット・アニーズ・KE,,BE-ELKE03,,2018,/ギュット[\s・]?アニーズ[\s・][kＫ][eＥ]/ius,,20,20×2.125HE,マットオリーブ,198000,25.2,20,35.1,100,76,63,内装3段,142,155,735,クラス27標準装備,低床,,20181217
42,パナソニック,ギュット,ギュット・アニーズ・KE,,BE-ELKE03,,2018,/ギュット[\s・]?アニーズ[\s・][kＫ][eＥ]/ius,,20,20×2.125HE,マットフォースブラウン,198000,25.2,20,35.1,100,76,63,内装3段,142,155,735,クラス27標準装備,低床,,20181217
43,パナソニック,ギュット,ギュット・ステージ・22,,BE-ELMU232,,2018,/ギュット[\s・]?ステージ[\s・]22/ius,,22,22×1-1/2 WO,ホワイトグレー,124000,25.2,12,29.2,70,52,40,内装3段,145,159,740,クラス27標準装備,低床,,20181217
44,パナソニック,ギュット,ギュット・ステージ・22,,BE-ELMU232,,2018,/ギュット[\s・]?ステージ[\s・]22/ius,,22,22×1-1/2 WO,マットカーキグリーン,124000,25.2,12,29.2,70,52,40,内装3段,145,159,740,クラス27標準装備,低床,,20181217
45,パナソニック,ギュット,ギュット・ステージ・22,,BE-ELMU232,,2018,/ギュット[\s・]?ステージ[\s・]22/ius,,22,22×1-1/2 WO,マットブラッドオレンジ,124000,25.2,12,29.2,70,52,40,内装3段,145,159,740,クラス27標準装備,低床,,20181217
46,パナソニック,ギュット,ギュット・ミニ・DX,,BE-ELMD034,,2018,/ギュット[\s・]?ミニ[\s・]?[dＤ][xＸ]/ius,,20,20×2.0HE,マットブラック,142000,25.2,16,33.3,80,60,50,内装3段,141,154,725,クラス27標準装備,低床,,20181217
47,パナソニック,ギュット,ギュット・ミニ・DX,,BE-ELMD034,,2018,/ギュット[\s・]?ミニ[\s・]?[dＤ][xＸ]/ius,,20,20×2.0HE,マットダークグリーン,142000,25.2,16,33.3,80,60,50,内装3段,141,154,725,クラス27標準装備,低床,,20181217
48,パナソニック,ギュット,ギュット・ミニ・DX,,BE-ELMD034,,2018,/ギュット[\s・]?ミニ[\s・]?[dＤ][xＸ]/ius,,20,20×2.0HE,ロイヤルレッド,142000,25.2,16,33.3,80,60,50,内装3段,141,154,725,クラス27標準装備,低床,,20181217
49,パナソニック,ギュット,ギュット・ミニ・DX,,BE-ELMD034,,2018,/ギュット[\s・]?ミニ[\s・]?[dＤ][xＸ]/ius,,20,20×2.0HE,マットブルーグレー,142000,25.2,16,33.3,80,60,50,内装3段,141,154,725,クラス27標準装備,低床,,20181217
