,LOUIS GARNEAU,ASCENT,ASCENT city,,,,2019,/ascent[\\s・]city/ius,,26,26×1.90,ディープオレンジ,/ディープオレンジ/ius,145800,,12.3,22.4,88,,,内装3段,137,,,クラス27取付可,,,20181217
,LOUIS GARNEAU,ASCENT,ASCENT city,,,,2019,/ascent[\\s・]city/ius,,26,26×1.90,オーシャンブルー,/オーシャンブルー/ius,145800,,12.3,22.4,88,,,内装3段,137,,,クラス27取付可,,,20181217
,LOUIS GARNEAU,ASCENT,ASCENT deluxe,,,,2019,/ascent[\\s・]deluxe/ius,,20,20×1.95/20×2.125,LGホワイト,/LGホワイト/ius,162000,,12.3,29.8,61,,,内装3段,135,,,クラス27標準装備,低床,,20181217
,LOUIS GARNEAU,ASCENT,ASCENT deluxe,,,,2019,/ascent[\\s・]deluxe/ius,,20,20×1.95/20×2.125,マットブラック,/マットブラック/ius,162000,,12.3,29.8,61,,,内装3段,135,,,クラス27標準装備,低床,,20181217
,LOUIS GARNEAU,ASCENT,ASCENT deluxe,,,,2019,/ascent[\\s・]deluxe/ius,,20,20×1.95/20×2.125,アンティークピンク,/アンティークピンク/ius,162000,,12.3,29.8,61,,,内装3段,135,,,クラス27標準装備,低床,,20181217
,LOUIS GARNEAU,ASCENT,ASCENT deluxe,,,,2019,/ascent[\\s・]deluxe/ius,,20,20×1.95/20×2.125,スモークブルー,/スモークブルー/ius,162000,,12.3,29.8,61,,,内装3段,135,,,クラス27標準装備,低床,,20181217
,LOUIS GARNEAU,ASCENT,ASCENT mini,,,,2019,/ascent[\\s・]mini/ius,,20/18,20×1.95/18×2.125,LGホワイト,/LGホワイト/ius,139320,,12.3,24.2,77,,,内装3段,135,,,標準装備,低床,,20181217
,LOUIS GARNEAU,ASCENT,ASCENT mini,,,,2019,/ascent[\\s・]mini/ius,,20/18,20×1.95/18×2.125,マットカーキ,/マットカーキ/ius,139320,,12.3,24.2,77,,,内装3段,135,,,標準装備,低床,,20181217
,LOUIS GARNEAU,ASCENT,ASCENT mini,,,,2019,/ascent[\\s・]mini/ius,,20/18,20×1.95/18×2.125,ディープオレンジ,/ディープオレンジ/ius,139320,,12.3,24.2,77,,,内装3段,135,,,標準装備,低床,,20181217
,LOUIS GARNEAU,ASCENT,ASCENT mini,,,,2019,/ascent[\\s・]mini/ius,,20/18,20×1.95/18×2.125,ライラック,/ライラック/ius,139320,,12.3,24.2,77,,,内装3段,135,,,標準装備,低床,,20181217
,カイホウ,SUISUI,BM-A30,,,,,/bm-a30/ius,,20,,ブラック,/ブラック/ius,,24,5.8,18.5,30,,,外装６段,,,740,,,,20181217
,カイホウ,SUISUI,BM-A30,,,,,/bm-a30/ius,,20,,ホワイト,/ホワイト/ius,,24,5.8,18.5,30,,,外装６段,,,740,,,,20181217
,カイホウ,SUISUI,BM-E50,,,,,/bm-e50/ius,,20,,ネイビー,/ネイビー/ius,,24,5.8,18.5,30,,,,,,815,,,,20181217
,カイホウ,SUISUI,BM-P10,,,,,/bm-p10/ius,,26,,ホワイト,/ホワイト/ius,,24,5.8,25.4,35,,,内装3段,,,800,クラス27標準装備,低床,前輪駆動,20181217
,カイホウ,SUISUI,BM-P10,,,,,/bm-p10/ius,,26,,ネイビー,/ネイビー/ius,,24,5.8,25.4,35,,,内装3段,,,800,クラス27標準装備,低床,前輪駆動,20181217
,パナソニック,ギュット,ギュット・アニーズ・DX,,BE-ELAD03,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・][dＤ][xＸ]/iu,,20,20×2.125 HE,マットジェットブラック,/マットジェットブラック/ius,139800,25.2,16,34,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181217
,パナソニック,ギュット,ギュット・アニーズ・DX,,BE-ELAD03,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・][dＤ][xＸ]/iu,,20,20×2.125 HE,オフホワイト,/オフホワイト/ius,139800,25.2,16,34,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181217
,パナソニック,ギュット,ギュット・アニーズ・DX,,BE-ELAD03,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・][dＤ][xＸ]/iu,,20,20×2.125 HE,マットオリーブ,/マットオリーブ/ius,139800,25.2,16,34,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181217
,パナソニック,ギュット,ギュット・アニーズ・DX,,BE-ELAD03,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・][dＤ][xＸ]/iu,,20,20×2.125 HE,マットネイビー,/マットネイビー/ius,139800,25.2,16,34,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181217
,パナソニック,ギュット,ギュット・アニーズ・DX,,BE-ELAD03,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・][dＤ][xＸ]/iu,,20,20×2.125 HE,マットブルーグレー,/マットブルーグレー/ius,139800,25.2,16,34,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181217
,パナソニック,ギュット,ギュット・アニーズ・DX,,BE-ELAD03,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・][dＤ][xＸ]/iu,,20,20×2.125 HE,マットハニー,/マットハニー/ius,139800,25.2,16,34,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181217
,パナソニック,ギュット,ギュット･アニーズ・DX・26,,BE-ELAD63,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・][dＤ][xＸ][\\s・]26/ius,,26,26×1.75 HE,マットジェットブラック,/マットジェットブラック/ius,139800,25.2,16,34.1,96,70,60,内装3段,146,162,765,クラス27標準装備,,,20181217
,パナソニック,ギュット,ギュット･アニーズ・DX・26,,BE-ELAD63,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・][dＤ][xＸ][\\s・]26/ius,,26,26×1.75 HE,オフホワイト,/オフホワイト/ius,139800,25.2,16,34.1,96,70,60,内装3段,146,162,765,クラス27標準装備,,,20181217
,パナソニック,ギュット,ギュット･アニーズ・DX・26,,BE-ELAD63,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・][dＤ][xＸ][\\s・]26/ius,,26,26×1.75 HE,マットオリーブ,/マットオリーブ/ius,139800,25.2,16,34.1,96,70,60,内装3段,146,162,765,クラス27標準装備,,,20181217
,パナソニック,ギュット,ギュット･アニーズ・DX・26,,BE-ELAD63,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・][dＤ][xＸ][\\s・]26/ius,,26,26×1.75 HE,マットネイビー,/マットネイビー/ius,139800,25.2,16,34.1,96,70,60,内装3段,146,162,765,クラス27標準装備,,,20181217
,パナソニック,ギュット,ギュット・アニーズ・EX,,BE-ELAE033,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・]?ex/ius,,20,20×2.125 HE,マットジェットブラック,/マットジェットブラック/ius,158800,25.2,16,34.3,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181217
,パナソニック,ギュット,ギュット・アニーズ・EX,,BE-ELAE033,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・]?ex/ius,,20,20×2.125 HE,オフホワイト,/オフホワイト/ius,158800,25.2,16,34.3,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181217
,パナソニック,ギュット,ギュット・アニーズ・EX,,BE-ELAE033,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・]?ex/ius,,20,20×2.125 HE,マットオリーブ,/マットオリーブ/ius,158800,25.2,16,34.3,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181217
,パナソニック,ギュット,ギュット・アニーズ・EX,,BE-ELAE033,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・]?ex/ius,,20,20×2.125 HE,ブリックレッド,/ブリックレッド/ius,158800,25.2,16,34.3,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181217
,パナソニック,ギュット,ギュット・アニーズ・EX,,BE-ELAE033,20181101,2019,/ギュット[\\s・]?アニーズ[\\s・]?ex/ius,,20,20×2.125 HE,マットネイビー,/マットネイビー/ius,158800,25.2,16,34.3,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181217
,パナソニック,ギュット,ギュット・アニーズ・KE,,BE-ELKE03,,2018,/ギュット[\\s・]?アニーズ[\\s・]?ke/ius,,20,20×2.125HE,マットジェットブラック,/マットジェットブラック/ius,198000,25.2,20,35.1,100,76,63,内装3段,142,155,735,クラス27標準装備,低床,,20181217
,パナソニック,ギュット,ギュット・アニーズ・KE,,BE-ELKE03,,2018,/ギュット[\\s・]?アニーズ[\\s・]?ke/ius,,20,20×2.125HE,ホワイトグレー,/ホワイトグレー/ius,198000,25.2,20,35.1,100,76,63,内装3段,142,155,735,クラス27標準装備,低床,,20181217
,パナソニック,ギュット,ギュット・アニーズ・KE,,BE-ELKE03,,2018,/ギュット[\\s・]?アニーズ[\\s・]?ke/ius,,20,20×2.125HE,マットオリーブ,/マットオリーブ/ius,198000,25.2,20,35.1,100,76,63,内装3段,142,155,735,クラス27標準装備,低床,,20181217
